上がる	あがる	to rise, to go up, to come up, to ascend, to be raised., to enter (esp. from outdoors), to come in, to go in., to enter (a school), to advance to the next grade., to get out (of water), to come ashore., to increase., to improve, to make progress., to be promoted, to advance., to be made (of profit, etc.)., to occur (esp. of a favourable result)., to be adequate (to cover expenses, etc.)., to be finished, to be done, to be over., (of rain) to stop, to lift., to stop (working properly), to cut out, to give out, to die., to win (in a card game, etc.)., to be arrested., to turn up (of evidence, etc.)., to be deep fried., to be spoken loudly., to get stage fright., to be offered (to the gods, etc.)., to go, to visit., to eat, to drink., to be listed (as a candidate)., to serve (in one's master's home)., (in Kyoto) to go north., (after the -masu stem of a verb) indicates completion.
音	おと, ね, おん	sound, noise, report., note (music)., fame., Chinese-derived character reading.
代わり	かわり	substitute, replacement, substituting, replacing., stand-in, proxy, alternate, deputy, relief, successor., compensation, exchange, return., second helping, another cup, seconds., upcoming program, upcoming programme.
受ける	うける	to receive, to get., to catch (e.g. a ball)., to be struck by (wind, waves, sunlight, etc.)., to sustain (damage), to incur (a loss), to suffer (an injury), to feel (influence)., to undergo (e.g. surgery), to take (a test), to accept (a challenge)., to be given (e.g. life, talent)., to follow, to succeed, to be descended from., to face (south, etc.)., to be modified by., to obtain (a pawned item, etc.) by paying a fee., to be well-received, to become popular, to go down well.
素晴らしい	すばらしい, すんばらしい	wonderful, splendid, magnificent.
工場	こうじょう, こうば	factory, plant, mill, workshop.
答え	こたえ, いらえ	response, reply, answer, solution.
漫画	まんが, マンガ	cartoon, comic, comic strip.
包む	くるむ, つつむ	to wrap up, to tuck in, to pack, to do up, to cover with, to dress in., to conceal, to hide, to be engulfed in, to be enveloped by.
久しぶり	ひさしぶり	a long time (since the last time), it's been a while (since I last saw, mailed, etc., you).
硬い	かたい	hard, solid, tough., stiff, tight, wooden, unpolished (e.g. writing)., strong, firm (not viscous or easily moved)., safe, steady, honest, steadfast., obstinate, stubborn., bookish, formal, stuffy.
大分	だいぶ, だいぶん	considerably, greatly, a lot.
引き出し	ひきだし	drawer., withdrawal, drawing out., variety of knowledge and experience useful for handling things impromptu.
見つかる	みつかる	to be found, to be discovered.
張る	はる	to stick, to paste, to affix, to link (e.g. in WWW forums)., to stretch, to spread, to strain, to tighten, to put up (tent)., to form (e.g. ice on a pond)., to fill, to swell., to stick out, to put, to slap., to be expensive., to become one tile away from completion (mahjong).
贈り物	おくりもの	present, gift.
乗り物	のりもの	vehicle.
柔らかい	やわらかい	soft, tender, limp.
増える	ふえる	to increase, to multiply.
引き出す	ひきだす	to pull out, to take out, to draw out, to withdraw.
安全	あんぜん	safety., security.
意見	いけん	opinion, view, comment.
運動	うんどう	exercise, physical training, work-out., appeal, campaign, drive, crusade, movement, lobbying., motion, movement.
会議	かいぎ	meeting, conference, session, assembly, council, convention, congress.
関係	かんけい	relation, relationship, connection., participation, involvement, concern., influence, effect., sexual relations, sexual relationship., related to ..., connected to ....
気	き	spirit, mind, heart., nature, disposition., motivation, intention., mood, feelings., atmosphere, essence.
技術	ぎじゅつ	art, craft, technique, technology, engineering, skill.
客	きゃく, かく	guest, visitor., customer, client, shopper, spectator, audience, tourist, sightseer, passenger.
教育	きょういく	training, education.
空港	くうこう	airport.
形	かたち, よう	form, shape, figure., visage.
経済	けいざい	economics, business, finance, economy.
計画	けいかく	plan, project, schedule, scheme, program, programme.
警察	けいさつ	police., police officer., police station.
研究	けんきゅう	study, research, investigation.
原因	げんいん	cause, origin, source.
光	ひかり	light.
高校	こうこう	senior high school, high school.
国際	こくさい	international.
最も	もっとも, もとも	most, extremely.
最近	さいきん	most recent, these days, right now, recently, nowadays.
最後	さいご	last, end, conclusion, latest, most recent., (after -tara form or -ta form followed by "ga") no sooner than, right after (often having negative consequences).
最初	さいしょ	beginning, outset, first, onset.
妻	つま	wife., garnish (esp. one served with sashimi)., embellishment.
産業	さんぎょう	industry.
子	こ	child., young (animal)., young woman, young geisha., offshoot., interest., new shares., player who is not a dealer (in cards, mahjong, etc.)., -er (often of young women).
市民	しみん	citizen, citizenry, public., city inhabitant, townspeople., bourgeoisie, middle class.
旨い	うまい	skillful, clever, expert, wise, successful., delicious, appetizing, appetising., fortunate, splendid, promising.
試合	しあい	match, game, bout, contest.
事故	じこ, ことゆえ	accident, incident, trouble., circumstances, reasons.
事務所	じむしょ	office.
時代	じだい	period, epoch, era, age., the times, those days., oldness, ancientness, antiquity., antique, period piece.
自由	じゆう	freedom, liberty, as it pleases you.
社会	しゃかい	society, public, community, the world., social studies.
社長	しゃちょう	company president, manager, director.
女性	じょせい, にょしょう	woman, female., feminine gender.
将来	しょうらい	future (usually near), prospects.
場所	ばしょ	place, location, spot, position., room, space., basho, wrestling tournament.
人口	じんこう	population., common talk.
世界	せかい	the world, society, the universe., sphere, circle, world., renowned, world-famous, well-known outside of Japan., realm governed by one Buddha, space.
政治	せいじ	politics, government.
生活	せいかつ	living, life (one's daily existence), livelihood.
生産	せいさん	production, manufacture.
戦争	せんそう	war.
男性	だんせい	man, male., masculine gender.
特に	とくに	particularly, especially.
特別	とくべつ	special.
反対	はんたい	opposition, resistance, antagonism, hostility, contrast, objection, dissension, reverse, opposite, vice versa.
番組	ばんぐみ	program (e.g. TV), programme.
必要	ひつよう	necessary, needed, essential, indispensable., necessity, need, requirement.
夫	おっと	husband.
部長	ぶちょう	head (chief, director) of a section or department., head of a (school) club, head of a (school) team.
文化	ぶんか	culture, civilization, civilisation., Bunka era (1804.2.11-1818.4.22).
放送	ほうそう	broadcast, broadcasting.
貿易	ぼうえき	trade (foreign).
輸出	ゆしゅつ, しゅしゅつ	export., efferent (medical).
輸入	ゆにゅう, しゅにゅう	importation, import, introduction.
予定	よてい	plans, arrangement, schedule, program, programme, expectation, estimate.
理由	りゆう, わけ	reason, pretext, motive.
歴史	れきし	history.
行う	おこなう	to perform, to do, to conduct oneself, to carry out.
気持ち	きもち	feeling, sensation, mood., preparedness, readiness, attitude., thanks, solicitude, sympathy., just a little, somewhat, slightly.
以内	いない	within, inside of, less than.
医学	いがく	medical science, medicine.
運転	うんてん	operation (of a machine, etc.), operating, running, run., driving., working (capital, etc.).
科学	かがく	science.
課長	かちょう	section manager, section chief.
会場	かいじょう	assembly hall, meeting place, venue, grounds.
学部	がくぶ	department of a university., undergraduate (course, program, etc.).
簡単	かんたん	simple, easy, uncomplicated., brief, quick, light.
危険	きけん	danger, peril, hazard., dangerous, hazardous.
機会	きかい	chance, opportunity.
競争	きょうそう	competition, contest., to compete.
経験	けいけん	experience.
交通	こうつう	traffic, transportation, communication, exchange (of ideas, etc.), intercourse.
工業	こうぎょう	(manufacturing) industry.
今度	こんど	now, this time, next time, another time.
試験	しけん	examination, test, study, trial, experiment.
寺	てら	temple (Buddhist).
十分	じゅうぶん	plenty, enough, sufficient, satisfactory, adequate., division into ten., perfectly, thoroughly, fully, in full.
準備	じゅんび	preparation, setup, arrangements, provision, reserve.
森	もり	forest., shrine grove.
親	おや	parent, parents., dealer (in cards, mahjong, etc.)., founder., (pet) owner.
昔	むかし	olden days, former.
説明	せつめい	explanation, exposition.
専門	せんもん	speciality, specialty, subject of study, expert.
相談	そうだん	consultation, discussion.
地震	じしん, ない, なえ, じぶるい	earthquake.
島	しま	island., territory (of a prostitute, organized crime gang, etc.), turf.
彼ら	かれら	they (usually male), them.
彼女	かのじょ	she, her., her., girlfriend, sweetheart.
比べる	くらべる	to compare, to make a comparison., to compete, to vie.
普通	ふつう	general, ordinary, usual., normally, generally, usually., train that stops at every station.
文学	ぶんがく	literature.
壁	かべ, へき	wall, partition., barrier, obstacle., Chinese "Wall" constellation (one of the 28 mansions).
法律	ほうりつ	law.
夢	ゆめ	dream.
娘	むすめ	(my) daughter., girl (i.e. a young, unmarried woman).
利用	りよう	use, utilization, utilisation, application.
林	はやし	woods, forest, copse, thicket.
例えば	たとえば	for example, e.g..
連絡	れんらく	to contact, to get in touch., contacting, getting in touch, communication, call, message., connection, coordination, junction., intercalary, intercalaris, internuncial.
途中	とちゅう	on the way, en route., in the middle of, midway.
選ぶ	えらぶ	to choose, to select.
思う	おもう	to think, to consider, to believe., to think (of doing), to plan (to do)., to judge, to assess, to regard., to imagine, to suppose, to dream., to expect, to look forward to., to feel, to desire, to want., to recall, to remember.
確か	たしか	sure, certain, positive, definite., reliable, trustworthy, safe, sound, firm, accurate, correct, exact., If I'm not mistaken, If I remember correctly, If I remember rightly.
気分	きぶん	feeling, mood.
急	きゅう	urgent, sudden, abrupt., sharp, steep, precipitous., rapid, swift, fast., emergency, crisis., hurrying, haste., (in gagaku or noh) end of a song.
空気	くうき	air, atmosphere., mood, situation., someone with no presence, someone who doesn't stand out at all.
決して	けっして, けして	never, by no means, not in the least, in no way.
血	ち	blood, consanguinity.
校長	こうちょう	principal, headmaster.
高校生	こうこうせい	senior high school student.
残念	ざんねん	deplorable, bad luck, regret, disappointment.
住所	じゅうしょ	address (e.g. of house), residence, domicile.
出席	しゅっせき	attendance, presence, appearance., to attend, to be present, to appear.
小学校	しょうがっこう	primary school, elementary school, grade school.
小説	しょうせつ	novel, (short) story.
食事	しょくじ	meal., to eat.
息子	むすこ, そく	son., penis.
卒業	そつぎょう	graduation, completion (e.g. of a course)., outgrowing something, moving on.
美術館	びじゅつかん	art gallery, art museum.
必ず	かならず	always, without exception, necessarily, certainly, without fail, positively, invariably.
複雑	ふくざつ	complex, complicated, mixed (feelings).
変わる	かわる	to change, to be transformed, to be altered, to vary., to move to., to be different, to be uncommon, to be unusual.
味	あじ	flavor, flavour, taste., charm, style., experience., smart, clever, witty, strange.
首	くび, クビ	neck., head., dismissal, discharge, firing (from a job).
割合	わりあい	rate, ratio, percentage, proportion., comparatively., contrary to expectations.
以下	いか, いげ	not exceeding, and downward, ... and below., below (e.g. standard), under (e.g. a level)., the below-mentioned, the following, the rest.
運転手	うんてんしゅ	driver, chauffeur.
会話	かいわ	conversation.
楽しみ	たのしみ	enjoyment, pleasure, diversion, amusement, hobby., anticipation, looking forward to.
看護婦	かんごふ	(female) nurse.
季節	きせつ	season.
興味	きょうみ	interest (in something), curiosity (about something), zest (for).
港	みなと	harbour, harbor, port.
郊外	こうがい	suburb, outskirts.
失敗	しっぱい	failure, mistake, blunder.
心配	しんぱい	worry, concern, anxiety., care, help, aid, assistance.
生きる	いきる	to live, to exist., to make a living, to subsist., to be in effect, to be in use, to function., to come to life, to be enlivened., to be safe (in baseball, go, etc.).
席	せき	seat., location (of a gathering, etc.), place., position, post.
線	せん	line, stripe, stria., line (e.g. telephone line), wire., ray (e.g. X-ray), beam., line (e.g. of a railroad), track, route, lane., outline, contours, form., level., division., line (of action), position, approach, policy, principle., impression one leaves, air one gives off.
中学校	ちゅうがっこう	junior high school, middle school, lower secondary school.
注意	ちゅうい	caution, being careful, attention (heed), warning, advice.
入院	にゅういん	hospitalization, hospitalisation.
入学	にゅうがく	entry to school or university, matriculation, enrolment (in university, etc.).
遊び	あそび	playing., play (margin between on and off, gap before pressing button or lever has an effect).
葉	は	leaf.
格好	かっこう, かっこ, カッコ	shape, form, figure, posture, pose., appearance., state, situation., suitable, fit, reasonable., about.
仕方	しかた	way, method, means, resource, course.
台風	たいふう	typhoon, hurricane.
値段	ねだん	price, cost.
船	ふね	ship, boat, watercraft, vessel, steamship., tank, tub, vat, trough., counter for boat-shaped containers (e.g. of sashimi).
安心	あんしん	relief, peace of mind.
海岸	かいがん	coast, beach.
間	あいだ, あわい	space (between), gap, interval, distance., time (between), pause, break., span (temporal or spatial), stretch, period (while)., relationship (between, among)., members (within, among).
教会	きょうかい	church.
故障	こしょう	breakdown, failure, fault, accident, out of order., damage, hurt., objection, protest.
公務員	こうむいん	government worker, public servant, civil servant.
枝	えだ	branch, bow, bough, twig, limb.
趣味	しゅみ	hobby, pastime., tastes, preference, liking.
柔道	じゅうどう	judo.
出発	しゅっぱつ	departure.
招待	しょうたい, しょうだい	invitation.
紹介	しょうかい	introduction, referral.
新聞社	しんぶんしゃ	newspaper company.
神社	じんじゃ	Shinto shrine.
人形	にんぎょう	doll, puppet, figure.
世話	せわ	looking after, help, aid, assistance.
是非	ぜひ	certainly, without fail., right and wrong, pros and cons.
星	ほし	star, any light-emitting (or reflecting) heavenly body (except for the sun and the moon)., suspect (police slang).
盛ん	さかん	popular., prosperous., enthusiastic., energetic, vigorous.
先輩	せんぱい	senior (at work or school), superior, elder, older graduate, progenitor, old-timer.
駐車場	ちゅうしゃじょう	parking lot, parking place.
点	てん	spot, mark., point, dot., mark (e.g. in exam), score, points., comma., aspect, matter, respect., counter for goods, items, articles of clothing, works of art, etc..
熱	ねつ	heat., fever, temperature., zeal, passion, enthusiasm., mania, craze, rage.
熱心	ねっしん	zeal, enthusiasm.
無理	むり	unreasonable, unnatural, unjustifiable., impossible., forcible, forced, compulsory., excessive (work, etc.), immoderate.
約束	やくそく	promise, agreement, arrangement, one's word, contract, pact, appointment, engagement, date., convention, rule., destiny, fate.
用意	ようい	preparation, arrangements, provision, getting ready, laying out (e.g. a meal).
腕	うで	arm., skill.
終わり	おわり	the end.
周り	まわり	circumference, girth., surroundings, neighbourhood, neighborhood, vicinity.
一生懸命	いっしょうけんめい	very hard, with utmost effort, with all one's might, for dear life.
運ぶ	はこぶ	to carry, to transport, to move, to convey., to come, to go., to wield (a tool, etc.), to use., to go (well, etc.), to proceed, to progress.
雲	くも	cloud.
規則	きそく	rules, regulations, conventions.
鏡	かがみ	mirror, looking-glass., barrel head.
近所	きんじょ	neighbourhood, neighborhood.
砂	すな, すなご, いさご	sand, grit., gold dust, silver dust.
指	ゆび, および, おゆび	finger, toe, digit.
習慣	しゅうかん	custom, habit, manners.
水道	すいどう	water service, water supply.
正月	しょうがつ	New Year, New Year's Day, the first month, January.
赤ちゃん	あかちゃん	baby, infant.
草	くさ	grass, weed, herb, thatch., not genuine, substandard.
送る	おくる	to send (a thing), to dispatch, to despatch, to transmit., to take or escort (a person somewhere), to see off (a person)., to bid farewell (to the departed), to bury., to spend (time), to live one's life., to pass (down the line)., to affix okurigana.
打つ	うつ	to hit, to strike, to knock, to beat, to punch, to slap, to tap, to bang, to clap, to pound., to strike (noon, etc.), to sound (cymbals, etc.), to beat (a drum, etc.)., to beat (rhythmically, e.g. pulse, waves, etc.)., to move, to impress, to touch., to drive in, to hammer in, to put in, to inject., to type, to send, to transmit., to insert, to write in, to mark., to make (noodles, etc.), to prepare., to till (soil)., to sprinkle, to throw, to cast., to do, to carry out, to play, to perform, to engage in (gambling, etc.)., to pay (a deposit, etc.)., to visit (on a pilgrimage)., to line (a coat)., to bind (a criminal).
虫	むし	insect, bug, cricket, moth, worm.
適当	てきとう	suitable, proper, appropriate, adequate, fit., noncommittal, vague, equivocal, unserious, irresponsible.
湯	ゆ	hot water., hot bath, hot spring., molten iron.
髪	かみ	hair (on the head).
表	おもて	surface., face (i.e. the visible side of an object)., front (of a building, etc.), obverse side (i.e. "head") of a coin., outside, exterior., appearance., public., first half (of an innings), top (of an inning)., cover (for tatami mats, etc.)., foreground.
訪ねる	たずねる	to visit.
翻訳	ほんやく	translation., de-encryption, deciphering., rendering.
毛	け	hair, fur.
予約	よやく	reservation, appointment, booking, advance order., contract, subscription, pledge.
売り場	うりば	place where things are sold, point of sale, POS, sales floor, counter (in shop).
案内	あんない	information, guidance, leading., to guide, to show (around), to conduct.
下げる	さげる	to hang, to suspend, to wear (e.g. decoration)., to lower, to reduce, to bring down., to demote, to move back, to pull back., to clear (plates), to remove (food, etc. from table or altar).
帰り	かえり	return, coming back.
糸	いと	thread, yarn, string.
集める	あつめる	to collect, to assemble, to gather.
水泳	すいえい	swimming.
店員	てんいん	shop assistant, employee, clerk, salesperson.
都合	つごう	circumstances, condition, convenience., to arrange, to manage., to lend money, to raise money., in all, in total, all told.
動物園	どうぶつえん	zoo, zoological gardens.
道具	どうぐ	tool, implement, instrument, utensil, apparatus, device., means.
日記	にっき	diary, journal.
背中	せなか	back (of body).
僕	ぼく	I, me., you (used addressing young children)., manservant.
両方	りょうほう	both, both sides, both parties.
具合	ぐあい	condition, state, manner, health.
湖	みずうみ	lake.
講義	こうぎ	lecture.
合う	あう, おう	to come together, to merge, to unite, to meet., to fit, to match, to suit, to agree with, to be correct., to be profitable, to be equitable., (after the -masu stem of a verb) to do ... to each other, to do ... together.
事	こと, こん	thing, matter., incident, occurrence, event, something serious, trouble, crisis., circumstances, situation, state of affairs., work, business, affair., after an inflectable word, creates a noun phrase indicating something the speaker does not feel close to., nominalizing suffix., pretending to ..., playing make-believe ...., alias, aka, nickname, alternative name, also known as.
西洋	せいよう	the west, Western countries.
大事	だいじ, おおごと	important, valuable, serious matter.
展覧会	てんらんかい	exhibition.
内	うち	inside, within., while., among, amongst, between., we (referring to one's in-group, i.e. company, etc.), our., my spouse., I (primarily used by women and children), me.
美しい	うつくしい	beautiful, lovely.
返事	へんじ	reply, answer, response.
踊り	おどり	dance.
昼間	ひるま, ちゅうかん	daytime, during the day, time from sunrise until sunset, diurnal period.
真ん中	まんなか, まなか	middle, centre, center, mid-way.
探す	さがす	to search (for something desired, needed), to look for., to search (for something lost), to seek (a suspect in a crime).
為	ため	good, advantage, benefit, welfare., sake, purpose, objective, aim., consequence, result, effect., affecting, regarding, concerning.
金持ち	かねもち	rich person.
区	く	ward, district, section.
隅	すみ, すま	corner, nook, recess., downstage right (on a noh stage).
細かい	こまかい	small., fine, minute., minor, trivial., sensitive, attentive.
坂	さか	slope, hill.
場合	ばあい	case, situation.
数学	すうがく	mathematics, arithmetic.
祖父	そふ, じじ, じい, おおじ, おじ, そぶ	grandfather., old man., kyogen mask used for the role of an old man.
着物	きもの	clothing, clothes., kimono (or other trad. Japanese clothing).
注射	ちゅうしゃ	injection.
丁寧	ていねい	polite, courteous, careful, care, kind, close, thorough, conscientious.
田舎	いなか	rural area, countryside, the sticks., hometown.
盗む	ぬすむ	to steal.
倍	ばい	twice, double., times, -fold.
旅館	りょかん	Japanese hotel, inn, ryokan.
受付	うけつけ	reception (desk), information desk., receipt, acceptance.
屋上	おくじょう	rooftop.
火事	かじ	fire, conflagration.
